day,infected,recovered,dead,shopped
1,1,0,0,14
2,1,0,0,19
3,1,0,0,17
4,1,0,0,13
5,7,0,0,16
6,11,0,0,13
7,25,0,0,17
8,37,0,0,18
10,56,0,0,24
9,44,0,0,12
11,62,0,0,18
12,69,0,0,20
13,70,0,0,7
15,81,0,0,14
14,75,0,0,10
16,83,1,0,5
17,84,1,0,4
18,88,1,0,7
19,88,1,0,4
20,89,1,0,3
21,83,7,0,5
22,81,11,0,6
23,70,25,0,8
24,55,37,0,16
25,48,44,0,13
26,36,56,0,20
28,40,69,0,29
27,30,62,0,20
29,23,70,0,21
30,29,75,0,21
31,12,81,0,24
32,10,83,0,21
33,20,85,0,28
34,6,88,0,23
35,5,89,0,29
36,4,90,0,28
38,4,90,0,24
37,4,90,0,35
39,2,92,0,33
40,2,92,0,28
41,2,92,0,30
42,2,92,0,29
43,2,92,0,25
44,1,93,0,34
45,1,93,0,30
46,1,93,0,32
47,1,93,0,30
48,1,93,0,29
49,0,94,0,28
50,0,94,0,29
